2011,Nothin' on You,B.o.B featuring Bruno Mars,The Smeezingtons, producers; Ari Levine, engineer/mixer;
2012,Rolling in the Deep,Adele,Paul Epworth, producer; Tom Elmhirst & Mark Rankin, engineers/mixers;
2012,The Cave,Mumford & Sons,Markus Dravs, producer; Francois Chevallier & Ruadhri Cushnan, engineers/mixers;
2012,Firework,Katy Perry,Mikkel S. Eriksen, Tor Erik Hermansen & Sandy Vee, producers; Mikkel S. Eriksen, Phil Tan, Sandy Vee & Miles Walker, engineers/mixers;
2012,Grenade,Bruno Mars,The Smeezingtons, producers; Ari Levine & Manny Marroquin, engineers/mixers;
2012,Holocene,Bon Iver,Justin Vernon, producer; Brian Joseph & Justin Vernon, engineers/mixers;
2013,Somebody That I Used to Know,Gotye featuring Kimbra,Wally de Backer, producer; Wally de Backer & François Tétaz, engineers/mixers; William Bowden, mastering engineer
2013,Lonely Boy,The Black Keys,The Black Keys & Danger Mouse, producers; Tom Elmhirst & Kennie Takahashi, engineers/mixers; Brian Lucey, mastering engineer
2013,Stronger (What Doesn't Kill You),Kelly Clarkson,Greg Kurstin, producer; Serban Ghenea, John Hanes, Greg Kurstin & Jesse Shatkin, engineers/mixers; Chris Gehringer, mastering engineer
2013,Thinkin Bout You,Frank Ocean,Frank Ocean, producer; Jeff Ellis, Pat Thrall & Marcos Tovar, engineers/mixers; Vlado Meller, mastering engineer
2013,We Are Never Ever Getting Back Together,Taylor Swift,Max Martin, Shellback & Taylor Swift, producers; Serban Ghenea, engineer/mixer; Tom Coyne, mastering engineer
2013,We Are Young,Fun. featuring Janelle Monáe,Jeff Bhasker, producer; Jeff Bhasker, Andrew Dawson & Stuart White, engineers/mixers; Chris Gehringer, mastering engineer
2014,Get Lucky,Daft Punk featuring Pharrell Williams & Nile Rodgers,Thomas Bangalter & Guy-Manuel de Homem-Christo, producers; Peter Franco, Mick Guzauski, Florian Lagatta & Daniel Lerner, engineers/mixers; Antoine Chabert & Bob Ludwig, mastering engineer
2014,Blurred Lines,Robin Thicke featuring T.I. & Pharrell Williams,Pharrell Williams, producer; Andrew Coleman & Tony Maserati, engineers/mixers; Chris Gehringer, mastering engineer
2014,Locked Out of Heaven,Bruno Mars,Jeff Bhasker, Emile Haynie, Mark Ronson & The Smeezingtons, producers; Alalal, Josh Blair, Wayne Gordon, Ari Levine, Manny Marroquin & Mark Ronson, engineers/mixers; David Kutch, mastering engineer
2014,Radioactive,Imagine Dragons,Alex da Kid, producer; Manny Marroquin & Josh Mosser, engineers/mixers; Joe LaPorta, mastering engineer
2014,Royals,Lorde,Joel Little, producer; Joel Little, engineer/mixer; Stuart Hawkes, mastering engineer
2015,Stay with Me (Darkchild Version),Sam Smith,Steve Fitzmaurice, Rodney Jerkins & Jimmy Napes, producers; Steve Fitzmaurice, Jimmy Napes & Steve Price, engineers/mixers; Tom Coyne, mastering engineer
2015,All About That Bass,Meghan Trainor,Kevin Kadish, producer; Kevin Kadish, engineer/mixer; Dave Kutch, mastering engineer
2015,Chandelier,Sia,Greg Kurstin & Jesse Shatkin, producers; Greg Kurstin, Manny Marroquin & Jesse Shatkin, engineers/mixers; Emily Lazar, mastering engineer
2015,Fancy,Iggy Azalea featuring Charli XCX,The Arcade & The Invisible Men, producers; John Armstrong, Anthony Kilhoffer & Eric Weaver, engineers/mixers; Miles Showell, mastering engineer
2015,Shake It Off,Taylor Swift,Max Martin & Shellback, producers; Serban Ghenea, John Hanes, Sam Holland & Michael Ilbert, engineers/mixers; Tom Coyne, mastering engineer
2016,Uptown Funk,Mark Ronson featuring Bruno Mars,Jeff Bhasker, Bruno Mars & Mark Ronson, producers; Josh Blair, Serban Ghenea, Wayne Gordon, John Hanes, Inaam Haq, Boo Mitchell, Charles Moniz & Mark Ronson, engineers/mixers; Tom Coyne, mastering engineer
2016,Blank Space,Taylor Swift,Max Martin & Shellback, producers; Serban Ghenea, John Hanes, Sam Holland & Michael Ilbert, engineers/mixers; Tom Coyne, mastering engineer
2016,Can't Feel My Face,The Weeknd,Max Martin & Ali Payami, producers; Serban Ghenea, John Hanes & Sam Holland, engineers/mixers; Tom Coyne, mastering engineer
2016,Really Love,D'Angelo & The Vanguard,D'Angelo, producer; Russell Elevado & Ben Kane, engineers/mixers; Dave Collins, mastering engineer
2016,Thinking Out Loud,Ed Sheeran,Jake Gosling, producer; Jake Gosling, Mark Spike Stent & Geoff Swan, engineers/mixers; Stuart Hawkes, mastering engineer
2017,Hello,Adele,Greg Kurstin, producer; Julian Burg, Tom Elmhirst, Emile Haynie, Greg Kurstin, Liam Nolan & Alex Pasco & Joe Visciano, engineers/mixers; Tom Coyne & Randy Merrill, mastering engineers
2017,7 Years,Lukas Graham,Future Animals & Pilo, producers; Delbert Bowers, Sebastian Fogh, Stefan Forrest & David LaBrel, engineers/mixers; Tom Coyne, mastering engineer
2017,Formation,Beyoncé,Beyoncé Knowles, Mike Will Made It & Pluss, producers; Jaycen Joshua & Stuart White, engineers/mixers; Dave Kutch, mastering engineer
2017,Stressed Out,Twenty One Pilots,Mike Elizondo & Tyler Joseph, producers; Neal Avron & Adam Hawkins, engineers/mixers; Chris Gehringer, mastering engineer
2017,Work,Rihanna featuring Drake,Boi-1da, producer; Noel Gadget Campbell, Kuk Harrell, Manny Marroquin, Noah 40 Shebib & Marcos Tovar, engineers/mixers; Chris Gehringer, mastering engineer
2018,24K Magic,Bruno Mars,Shampoo Press & Curl, producers; Serban Ghenea, John Hanes & Charles Moniz, engineers/mixers; Tom Coyne, mastering engineer
2018,Despacito,Luis Fonsi & Daddy Yankee featuring Justin Bieber,Josh Gudwin, Mauricio Rengifo & Andrés Torres, producers; Josh Gudwin, Jaycen Joshua, Chris ‘TEK’ O’Ryan, Mauricio Rengifo, Juan G Rivera Gaby Music, Luis “Salda” Saldarriaga & Andrés Torres, engineers/mixers; Dave Kutch, mastering engineer
2018,HUMBLE.,Kendrick Lamar,Asheton Hogan & Mike Will Made It, producers; Derek MixedByAli Ali, James Hunt & Matt Schaeffer, engineers/mixers; Mike Bozzi, mastering engineer
2018,Redbone,Childish Gambino,Donald Glover & Ludwig Göransson, producers; Donald Glover, Ludwig Göransson, Riley Mackin & Ruben Rivera, engineers/mixers; Bernie Grundman, mastering engineer
2018,The Story of O.J.,Jay-Z,Jay-Z & No I.D., producers; Jimmy Douglass & Gimel Young Guru Keaton, engineers/mixers; Dave Kutch, mastering engineer
2019,This Is America,Childish Gambino,Donald Glover & Ludwig Göransson, producers; Derek MixedByAli Ali, Kesha Lee, Riley Mackin, Shaan Singh & Alex Tumay, engineers/mixers; Mike Bozzi, mastering engineer
2019,All the Stars,Kendrick Lamar & SZA,Al Shux & Sounwave, producers; Sam Ricci & Matt Schaeffer, engineers/mixers; Mike Bozzi, mastering engineer
2019,God's Plan,Drake,Boi-1da, Cardo & Young Exclusive, producers; Noel Cadastre, Noel Gadget Campbell & Noah Shebib, engineers/mixers; Chris Athens, mastering engineer
2019,I Like It,Cardi B, Bad Bunny & J Balvin,Invincible, J. White Did It, Craig Kallman & Tainy, producers; Leslie Brathwaite, Kuk Harrell, Evan LaRay & Simone Torres, engineers/mixers; Colin Leonard, mastering engineer
2019,The Joke,Brandi Carlile,Dave Cobb & Shooter Jennings, producers; Tom Elmhirst & Eddie Spear, engineers/mixers; Pete Lyman, mastering engineer
2019,The Middle,Zedd, Maren Morris & Grey,Grey, The Monsters and the Strangerz & Zedd, producers; Grey, Tom Norris, Ryan Shanahan & Zedd, engineers/mixers; Mike Marsh, mastering engineer
2019,Rockstar,Post Malone featuring 21 Savage,Louis Bell & Tank God, producers; Louis Bell, Lorenzo Cardona, Manny Marroquin & Ethan Stevens, engineers/mixers; Mike Bozzi, mastering engineer
2019,Shallow,Lady Gaga & Bradley Cooper,Lady Gaga & Benjamin Rice, producers; Brandon Bost & Tom Elmhirst, engineers/mixers; Randy Merrill, mastering engineer
2020,Bad Guy,Billie Eilish,Finneas O'Connell, producer; Rob Kinelski & Finneas O'Connell, engineers/mixers; John Greenham, mastering engineer
2020,7 Rings,Ariana Grande,Charles Anderson, Tommy Brown, Michael Foster & Victoria Monet, producers; Serban Ghenea, John Hanes, Billy Hickey & Brendan Morawski, engineers/mixers; Randy Merrill, mastering engineer
2020,Hard Place,H.E.R.,Rodney “Darkchild” Jerkins, producer; Joseph Hurtado, Jaycen Joshua, Derek Keota & Miki Tsutsumi, engineers/mixers; Colin Leonard, mastering engineer
2020,Hey, Ma,Bon Iver,BJ Burton, Brad Cook, Chris Messina & Justin Vernon, producers; BJ Burton, Zach Hansen & Chris Messina, engineers/mixers; Greg Calbi, mastering engineer
2020,Old Town Road,Lil Nas X featuring Billy Ray Cyrus,Andrew VoxGod Bolooki, Jocelyn Jozzy Donald & YoungKio, producers; Andrew VoxGod Bolooki & Cinco & Joe Grasso, engineers/mixers; Eric Lagg, mastering engineer
2020,Sunflower”,Post Malone & Swae Lee,Louis Bell & Carter Lang, producers; Louis Bell & Manny Marroquin, engineers/mixers; Mike Bozzi, mastering engineer
2020,Talk,Khalid,Disclosure & Denis Kosiak, producers; Ingmar Carlson, Jon Castelli, Josh Deguzman, John Kercy, Denis Kosiak, Guy Lawrence & Michael Romero, engineers/mixers; Dale Becker, mastering engineer
2020,Truth Hurts,Lizzo,Ricky Reed & Tele, producers; Chris Galland, Manny Marroquin & Ethan Shumaker, engineers/mixers; Chris Gehringer, mastering engineer
2021,Everything I Wanted,Billie Eilish,Finneas O'Connell, producer; Rob Kinelski & Finneas O'Connell, engineers/mixers; John Greenham, mastering engineer
2021,Black Parade,Beyoncé,Beyoncé & Derek Dixie, producers; Stuart White, engineer/mixer; Colin Leonard, mastering engineer
2021,Circles,Post Malone,Louis Bell, Frank Dukes & Post Malone, producers; Louis Bell & Manny Marroquin, engineers/mixers; Mike Bozzi, mastering engineer
2021,Colors,Black Pumas,Adrian Quesada, producer; Adrian Quesada, engineer/mixer; JJ Golden, mastering engineer
